hidden_dim,learning_rate,weight_decay,best_hit_at_10
64,0.0005,1e-05,0.0003
128,0.001,1e-05,0.0002
128,0.0005,0.0001,0.0
64,0.0005,0.001,0.0004
128,0.0005,0.001,0.0007
64,0.001,0.0001,0.0004
