max_depth,learning_rate,n_estimators,auc
4,0.1,100,0.966492021483911
4,0.1,300,0.9668094119387712
6,0.1,100,0.966789389074429
6,0.1,300,0.9670686522750604
8,0.1,100,0.9670406555381191
8,0.1,300,0.9671906365941426
