hidden_dim,num_heads,num_layers,dropout,max_seq_len,learning_rate,best_hit_at_10
64,2,2,0.2,25,0.0005,0.0475
64,2,3,0.2,50,0.001,0.0402
64,4,2,0.2,50,0.001,0.041
64,4,2,0.3,25,0.0005,0.0447
64,2,2,0.3,25,0.001,0.0386
64,4,2,0.3,50,0.001,0.0395
