hidden_dim,num_heads,num_layers,dropout,max_seq_len,learning_rate,best_hit_at_10
64,2,2,0.3,25,0.001,0.0509
128,4,3,0.1,50,0.0005,0.0406
64,4,2,0.3,25,0.001,0.0517
128,4,3,0.2,50,0.001,0.0475
128,2,3,0.2,50,0.0005,0.0392
64,4,2,0.3,50,0.001,0.0506
