hidden_dim,learning_rate,weight_decay,best_hit_at_10
64,0.0005,1e-05,0.0274
32,0.001,1e-05,0.0268
128,0.0005,0.0001,0.0024
32,0.0005,1e-05,0.0268
32,0.001,0.0001,0.0007
64,0.001,1e-05,0.0267
