max_depth,learning_rate,n_estimators,auc
4,0.1,100,0.9832906905366008
4,0.1,300,0.9835277638756609
6,0.1,100,0.9835021474900503
6,0.1,300,0.9836619261636843
8,0.1,100,0.9836184482685487
8,0.1,300,0.9836971574880763
