max_depth,learning_rate,n_estimators,auc
4,0.1,100,0.9842770705327748
4,0.1,300,0.9845700320909533
6,0.1,100,0.9845367604825119
6,0.1,300,0.9846010145676944
8,0.1,100,0.9846206723056106
8,0.1,300,0.9845400959341104
